time	V(2)	V(d1)	V(d2)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.999999717180685e-010	1.249990e-018	9.999914e-010	7.499930e-001
1.999999943436137e-009	3.333293e-018	1.833311e-009	9.166535e-001
3.999999886872274e-009	1.099975e-017	3.166593e-009	7.083122e-001
7.999999773744548e-009	4.099805e-017	5.999718e-009	6.666257e-001
1.599999954748910e-008	1.609845e-016	1.199887e-008	7.499153e-001
1.183999966514194e-006	9.947257e-013	8.778250e-007	7.432760e-001
2.351999933480898e-006	3.503277e-012	1.736108e-006	7.371634e-001
3.519999900447603e-006	7.525816e-012	2.586847e-006	7.315776e-001
4.687999867414307e-006	1.306234e-011	3.430043e-006	7.265185e-001
5.855999834381011e-006	2.011285e-011	4.265695e-006	7.219863e-001
7.023999801347716e-006	2.867735e-011	5.093804e-006	7.179808e-001
8.191999768314418e-006	3.875584e-011	5.914369e-006	7.145020e-001
1.508812268739148e-005	1.209483e-010	1.077694e-005	7.062988e-001
2.497650795390862e-005	3.054941e-010	1.742305e-005	6.804237e-001
3.861625288171296e-005	6.694165e-010	2.554349e-005	6.081807e-001
5.615519285630133e-005	1.281480e-009	3.394704e-005	4.946125e-001
7.819331400255334e-005	2.200083e-009	4.111636e-005	3.417861e-001
1.045917821513160e-004	3.382811e-009	4.471593e-005	1.531344e-001
1.355327119646213e-004	4.674413e-009	4.214097e-005	-6.828139e-002
1.703343528873755e-004	5.719187e-009	3.078963e-005	-3.140399e-001
2.083583750724845e-004	6.022591e-009	8.610768e-006	-5.768911e-001
2.477407389432659e-004	5.029245e-009	-2.447739e-005	-8.353609e-001
2.887032899054155e-004	2.221685e-009	-6.892927e-005	-1.087003e+000
3.283587903700964e-004	-2.643858e-009	-1.199386e-004	-1.280868e+000
3.736312559095494e-004	-1.138011e-008	-1.831603e-004	-1.389766e+000
4.344719244315808e-004	-2.933923e-008	-2.702523e-004	-1.428238e+000
5.326620515892689e-004	-7.406219e-008	-4.088976e-004	-1.423113e+000
6.992824275144522e-004	-1.809614e-007	-6.426837e-004	-1.413483e+000
8.359479833999314e-004	-2.883903e-007	-8.759545e-004	-7.343726e+001
8.364161962866769e-004	-2.888007e-007	-8.878461e-004	-7.347897e+001
8.373526220601677e-004	-2.896539e-007	-9.108632e-004	-4.882436e+001
8.392254736071492e-004	-2.913618e-007	-9.115634e-004	-3.544821e-001
8.429711767011124e-004	-2.947841e-007	-9.129856e-004	-3.864662e-001
8.654453952648912e-004	-3.154568e-007	-9.196784e-004	-3.027520e-001
8.954110200165963e-004	-3.431338e-007	-9.233442e-004	-1.838587e-001
9.553422695200064e-004	-3.968780e-007	-9.103342e-004	7.813624e-002
1.075526251784225e-003	-4.998924e-007	-7.967830e-004	1.113426e+002
1.076169218299022e-003	-5.003888e-007	-7.724038e-004	7.467597e+001
1.077455151328616e-003	-5.013787e-007	-7.707096e-004	1.237560e+000
1.080027017387804e-003	-5.033468e-007	-7.670843e-004	1.403468e+000
1.095458213742932e-003	-5.148101e-007	-7.442505e-004	1.475848e+000
1.116033142216435e-003	-5.290822e-007	-7.110416e-004	1.568681e+000
1.157182999163442e-003	-5.535941e-007	-6.359812e-004	1.741743e+000
1.239482713057455e-003	-5.831939e-007	-4.575122e-004	2.037466e+000
1.404082140845482e-003	-5.718425e-007	-1.090015e-005	2.615890e+000
1.605076878374715e-003	-4.252529e-007	6.222402e-004	3.120112e+000
1.877428952966524e-003	-6.910070e-008	1.705866e-003	3.364132e+002
1.878088992438981e-003	-6.797335e-008	1.884817e-003	3.369010e+002
1.878254002307095e-003	-6.765499e-008	1.929293e-003	2.251202e+002
1.878584022043323e-003	-6.701804e-008	1.929797e-003	1.622055e+000
1.879244061515780e-003	-6.574322e-008	1.930864e-003	1.523828e+000
1.880564140460693e-003	-6.318987e-008	1.933117e-003	1.709119e+000
1.904325561469133e-003	-1.593698e-008	1.971685e-003	1.604465e+000
1.928086982477573e-003	3.195603e-008	2.005359e-003	1.492648e+000
1.951848403486012e-003	8.048917e-008	2.034139e-003	1.373669e+000
1.975609824494452e-003	1.296624e-007	2.058023e-003	1.247527e+000
1.999371245502891e-003	1.794758e-007	2.077013e-003	1.114223e+000
2.023132666511331e-003	2.299293e-007	2.091108e-003	9.737564e-001
2.046894087519771e-003	2.810230e-007	2.100308e-003	8.261272e-001
2.184193096494300e-003	5.715830e-007	2.082272e-003	-8.444540e+001
2.185904281273687e-003	5.751157e-007	2.064556e-003	-1.029219e+000
2.188185860979537e-003	5.798170e-007	2.061878e-003	-1.168169e+000
2.220127976861434e-003	6.444314e-007	2.020114e-003	-1.318680e+000
2.256633252155030e-003	7.150063e-007	1.963670e-003	-1.473422e+000
2.329643802742223e-003	8.432352e-007	1.829597e-003	-1.727649e+000
2.475664903916608e-003	1.042879e-006	1.525122e-003	-2.015092e+000
2.767707106265379e-003	1.334123e-006	6.839117e-004	-1.457091e+003
2.767849704996995e-003	1.334220e-006	6.143658e-004	-1.457605e+003
2.768134902460226e-003	1.334355e-006	4.755969e-004	-9.718922e+002
